,Branch,Branch Location,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Items Selling Price,Payment Type,cogs,gross margin percentage,gross income,Rating,DateTime
0,A,Lagos,Member,Female,Health and beauty,26888.4,7,9410.94,197629.74,Epay,188218.8,4.761904762,9410.94,9.1,2019-01-05 13:08:00
1,A,Lagos,Normal,Male,Home and lifestyle,16678.8,7,5837.58,122589.18,Card,116751.6,4.761904762,5837.58,7.4,2019-03-03 13:23:00
2,A,Lagos,Member,Male,Health and beauty,20959.2,8,8383.68,176057.28,Epay,167673.6,4.761904762,8383.68,8.4,2019-01-27 20:33:00
3,A,Lagos,Normal,Male,Sports and travel,31071.6,7,10875.06,228376.26,Epay,217501.2,4.761904762,10875.06,5.3,2019-02-08 10:37:00
4,A,Lagos,Member,Female,Electronic accessories,24782.4,6,7434.719999999999,156129.12,Epay,148694.4,4.761904762,7434.719999999999,5.8,2019-02-25 14:36:00
5,A,Lagos,Member,Female,Health and beauty,13053.6,2,1305.36,27412.56,Card,26107.2,4.761904762,1305.36,7.2,2019-01-10 17:15:00
6,A,Lagos,Normal,Female,Electronic accessories,16902.0,5,4225.5,88735.5,Epay,84510.0,4.761904762,4225.5,7.1,2019-02-12 10:25:00
7,A,Lagos,Normal,Male,Food and beverages,15548.4,10,7774.2,163258.2,Epay,155484.0,4.761904762,7774.2,8.2,2019-02-07 16:48:00
8,A,Lagos,Normal,Female,Health and beauty,25696.8,10,12848.4,269816.4,Cash,256968.0,4.761904762,12848.4,5.7,2019-03-29 19:21:00
9,A,Lagos,Member,Female,Health and beauty,24814.800000000003,7,8685.18,182388.78,Card,173703.6,4.761904762,8685.18,4.6,2019-03-11 11:03:00
10,A,Lagos,Normal,Male,Sports and travel,26139.6,6,7841.88,164679.48,Card,156837.6,4.761904762,7841.88,6.9,2019-01-01 10:39:00
11,A,Lagos,Normal,Male,Food and beverages,19681.2,3,2952.18,61995.78,Card,59043.6,4.761904762,2952.18,8.6,2019-01-21 18:00:00
